ID,module,function,requirement_source,role,frontend_state,backend_state,integration_result,primary_status,scope_disposition,evidence_level,priority,linked_backlog_id
F-001,Authentication,login refresh logout,AGENTS.md auth state machine,all,implemented,JWT auth refresh logout implemented,contract appears compatible; browser login passes for configured users,BUILT_WORKING,REQUIRED_WEB,static+runtime,P1,WEB-DISC-001
F-002,Onboarding,dynamic complete profile,AGENTS.md §10-15,all,implemented,AuthMe and CompleteProfile plus onboarding APIs exist,source contract aligned; runtime role completion not fully exercised,BLOCKED_UNVERIFIED,REQUIRED_WEB,static only,P1,WEB-DISC-002
F-003,Identity,universal user creation,AGENTS.md §6,ADMIN,implemented,UserViewSet plus role profile services exist,frontend calls /api/users/ and renders four roles; mutation not run in this audit,BLOCKED_UNVERIFIED,REQUIRED_WEB,static only,P1,WEB-DISC-003
F-004,Directories,users/residents/supervisors/support-staff/admins listing and detail,AGENTS.md §15,ADMIN,implemented,profile/user viewsets exist,route/client shapes appear aligned; runtime list/detail mutation not exercised,BLOCKED_UNVERIFIED,REQUIRED_WEB,static+smoke,P1,WEB-DISC-004
F-005,Supervision,assignment create/end/change-primary/import,accepted brick 7 docs,ADMIN,implemented,supervision API/viewsets/services exist,client endpoints match URL file; role workflow not end-to-end verified,BLOCKED_UNVERIFIED,REQUIRED_WEB,static only,P1,WEB-DISC-005
F-006,Supervision,assignment data quality,accepted brick 7 docs,ADMIN,implemented,supervision data-quality endpoint exists,client endpoint mapped; mutation/permission coverage not runtime verified,BLOCKED_UNVERIFIED,REQUIRED_WEB,static only,P2,WEB-DISC-006
F-007,Academics,training record CRUD,accepted brick 8 docs,ADMIN,implemented,academic training-record router exists,frontend list/create/detail uses /api/academics/training-records/ and tests pass,BUILT_WORKING,REQUIRED_WEB,static+unit,P1,WEB-DISC-007
F-008,Academics,rotation assignment lifecycle,CLAUDE.md canonical domain model,ADMIN|SUPERVISOR|RESIDENT,implemented,training RotationAssignment viewset actions and inboxes exist,frontend uses /api/rotations/ and related actions; page-level E2E not verified,PARTIALLY_BUILT,REQUIRED_WEB,static only,P1,WEB-DISC-008
F-009,Academics,leave request lifecycle,CLAUDE.md canonical domain model,ADMIN|SUPERVISOR|RESIDENT,implemented,LeaveRequest viewset/actions and approval inboxes exist,frontend list/new/detail present; page-level E2E not verified,PARTIALLY_BUILT,REQUIRED_WEB,static only,P1,WEB-DISC-009
F-010,Academics,logbook draft submit review correction,accepted brick 8 docs,RESIDENT|SUPERVISOR|ADMIN,implemented,LogbookEntry router/actions exist,API client and pages map; absent primary navigation and no page tests,PARTIALLY_BUILT,REQUIRED_WEB,static only,P1,WEB-DISC-010
F-011,Academics,evaluation submission review,accepted brick 8 docs,RESIDENT|SUPERVISOR|ADMIN,implemented,EvaluationSubmission router/actions exist,API client and pages map; absent primary navigation and no page tests,PARTIALLY_BUILT,REQUIRED_WEB,static only,P1,WEB-DISC-011
F-012,Academics,logbook/evaluation templates and categories,accepted brick 8 docs,ADMIN,implemented,template/category viewsets exist,frontend forms are reachable in Academics nav; description says submissions added later despite submission pages existing,PARTIALLY_BUILT,REQUIRED_WEB,static only,P2,WEB-DISC-012
F-013,Academics,supervisor review queue,accepted brick 8 docs,ADMIN|SUPERVISOR,implemented,review-queue viewset exists,frontend create/update queue item UI is present; business review lifecycle not fully proven,PARTIALLY_BUILT,REQUIRED_WEB,static+unit,P1,WEB-DISC-013
F-014,Monitoring,admin/supervisor/resident monitoring,accepted brick 11 docs,ADMIN|SUPERVISOR|RESIDENT,implemented,monitoring endpoints exist,admin page calls method but stale Jest mock fails; runtime only smoke dashboard partial,BUILT_NEEDS_DEBUG,REQUIRED_WEB,static+unit+smoke,P1,WEB-DISC-014
F-015,Reports,progress/workload/evaluation/logbook/data-quality reports,accepted brick 11 docs,ADMIN|SUPERVISOR|RESIDENT,implemented,report endpoints and CSV exports exist,pages exist but no nav entries; export auth/download not runtime verified,PARTIALLY_BUILT,REQUIRED_WEB,static only,P2,WEB-DISC-015
F-016,Masters,hospitals/departments/programs/matrix,accepted brick 6 docs,ADMIN,implemented,userbase routers and identity options exist,smoke pages pass for hospitals/departments/matrix; mutation not exercised,BUILT_WORKING,REQUIRED_WEB,static+smoke,P1,WEB-DISC-016
F-017,Documents,resident requirement configuration,accepted onboarding docs,ADMIN,implemented,ResidentDocumentRequirement viewset exists,frontend form/list calls API; runtime mutation unverified,BLOCKED_UNVERIFIED,REQUIRED_WEB,static only,P2,WEB-DISC-017
F-018,Documents,resident upload/download/review/resubmission,accepted onboarding docs,RESIDENT|ADMIN,implemented,ResidentDocument viewset has file/download/verify/request-reupload actions,frontend resident upload/defer exists; web end-to-end not verified,PARTIALLY_BUILT,REQUIRED_WEB,static only,P1,WEB-DISC-018
F-019,Backup,backup list/download/delete/verify/restore,brick 12 docs,ADMIN,implemented,backup_center API/views/services exist,Backup Center runtime smoke passes controls; destructive restore intentionally not executed,BUILT_WORKING,REQUIRED_WEB,static+smoke,P1,WEB-DISC-019
F-020,Notifications,list/unread/mark-read/preferences,backend notifications app,all,implemented,notification endpoints exist,header/client mapping exists; state mutation not runtime verified,BLOCKED_UNVERIFIED,REQUIRED_WEB,static only,P2,WEB-DISC-020
F-021,Bulk,CSV import/export/templates/flexible mapping,AGENTS.md non-scope caveat,ADMIN,implemented,bulk API/services exist,frontend supervision import and masters flexible import cover selected paths; full entity matrix not verified,PARTIALLY_BUILT,REQUIRED_WEB,static only,P2,WEB-DISC-021
