role,entry_point,frontend_route_component_action,request,backend_route_handler,permissions,service,data_source,response_persistence,result,evidence_reference
all,/login,/login form submit,POST /api/auth/login/,/api/auth/login/ CustomTokenObtainPairView,public,token/auth services,User JWT response stored in authStore,token and route persisted,19 smoke login tests passed; configured users only,E-20260919-CMD
all,/dashboard,/dashboard redirect,GET /api/auth/me/,/api/auth/me/ AuthMeView,authenticated,profile state service,User plus role profile,allowed_next_route drives redirect,static mapped; full onboarding roles unverified,E-20260919-NAV
ADMIN,/users,/users list,GET /api/users/?role=...,UserViewSet list,ADMIN,UserViewSet queryset,User/Profile queryset,JSON list rendered,not runtime exercised,E-20260919-NAV
ADMIN,/users/new,/users/new submit,POST /api/users/,UserViewSet create -> create_user_with_profile,ADMIN,users.services.create_user_with_profile,User and role profile plus audit,created record rendered; mutation not run,BLOCKED-E2E
ADMIN,/residents,/residents list,GET /api/users/residents/,ResidentProfileViewSet list,ADMIN,profile queryset,ResidentProfile/User,JSON list rendered,smoke route access only,E-20260919-NAV
ADMIN,/supervisors,/supervisors list,GET /api/users/supervisors/,SupervisorProfileViewSet list,ADMIN,profile queryset,SupervisorProfile/User,JSON list rendered,smoke route access only,E-20260919-NAV
ADMIN,/support-staff,/support-staff list,GET /api/users/support-staff/,SupportStaffProfileViewSet list,ADMIN,profile queryset,SupportStaffProfile/User,JSON list rendered,static only,E-20260919-NAV
ADMIN,/admins,/admins list,GET /api/users/admins/,AdminProfileViewSet list,ADMIN,profile queryset,AdminProfile/User,JSON list rendered,static only,E-20260919-NAV
ADMIN,/supervision/assignments,/supervision assignments list,GET /api/supervision/assignments/,AssignmentViewSet list,ADMIN,supervision service,ResidentSupervisorAssignment,rows rendered,static only,E-20260919-MAP
ADMIN,/supervision/assignments/new,assignment form,POST /api/supervision/assignments/,AssignmentViewSet create,ADMIN,create_supervisor_assignment,ResidentSupervisorAssignment,created row returned,static only,E-20260919-MAP
ADMIN,/supervision/import,CSV submit,multipart POST /api/supervision/import/,SupervisionImportView,ADMIN,import service,User/Profile and assignments,import result displayed,static only,E-20260919-MAP
ADMIN,/academics/training-records,training record list/create,GET/POST /api/academics/training-records/,ResidentTrainingRecordViewSet,ADMIN,academic viewset,academics.ResidentTrainingRecord,rows and create response,unit page test passes,E-20260919-MAP
ADMIN|SUPERVISOR|RESIDENT,/academics/rotation-assignments,rotation list/detail/actions,GET/POST /api/rotations/ and custom actions,training RotationAssignmentViewSet plus inbox APIs,role-scoped permissions,training workflow services,RotationAssignment and related records,status refreshed after mutation,static only,E-20260919-MAP
ADMIN|SUPERVISOR|RESIDENT,/academics/leave-requests,leave list/detail/actions,GET/POST /api/leaves/ and custom actions,LeaveRequestViewSet plus inbox APIs,role-scoped permissions,training workflow services,LeaveRequest,status refreshed after mutation,static only,E-20260919-MAP
RESIDENT|SUPERVISOR|ADMIN,/academics/logbook,logbook list/new/detail/review,GET/POST /api/academics/logbook-entries/ plus submit/verify/return_revision/reject,LogbookEntryViewSet,role-scoped permissions,academic workflow,academics.LogbookEntry,status returned,static; no nav/page test,E-20260919-MAP
RESIDENT|SUPERVISOR|ADMIN,/academics/evaluations,evaluation list/new/detail/review,GET/POST /api/academics/evaluation-submissions/,EvaluationSubmissionViewSet,role-scoped permissions,academic workflow,EvaluationSubmission,status returned,static; no nav/page test,E-20260919-MAP
ADMIN,/academics/monitoring,monitoring tabs,GET /api/academics/monitoring/{admin-dashboard,departments,programs,sessions}/,monitoring views,ADMIN,reporting queries,training/supervision aggregates,JSON rendered,source mapped; Jest dashboard regression,E-20260919-TEST
ADMIN|SUPERVISOR|RESIDENT,/academics/reports/*,report pages/export,GET report endpoints and CSV links,report API views,role-scoped,reporting functions,training/logbook/evaluation aggregates,table/CSV link,not runtime verified,E-20260919-MAP
ADMIN,/dashboard/utrmc/backup,backup controls,GET/POST /api/backup_center/*,backup_center views/services,ADMIN,backup services,backup metadata/files,controls render and smoke passes,destructive restore not run,E-20260919-SMOKE
RESIDENT,/dashboard/resident/documents,upload/defer,GET/POST /api/resident-documents/*,ResidentDocumentViewSet,RESIDENT,document service,ResidentDocument/media,visible status refresh,static only,E-20260919-MAP
ADMIN,/residents/document-requirements,requirement CRUD,GET/POST/PATCH /api/resident-document-requirements/,ResidentDocumentRequirementViewSet,ADMIN,serializer/viewset,ResidentDocumentRequirement,rows/form updated,static only,E-20260919-MAP
all,header,notifications unread count,GET /api/notifications/unread-count/,NotificationUnreadCountView,authenticated,NotificationService,Notification queryset,badge count,client call observed in Jest late log,E-20260919-JEST
ADMIN,/masters,master data forms,GET/POST /api/hospitals/ /api/departments/ and related,Hospital/Department/HospitalDepartment viewsets,ADMIN,userbase services,canonical masters,lists/forms,smoke pages pass,E-20260919-SMOKE
