pgsims_backend_prod  | [2026-02-27 21:09:31 +0000] [17] [INFO] Listening at: http://0.0.0.0:8014 (17)
pgsims_backend_prod  | [2026-02-27 21:09:31 +0000] [17] [INFO] Using worker: sync
pgsims_backend_prod  | [2026-02-27 21:09:31 +0000] [19] [INFO] Booting worker with pid: 19
pgsims_backend_prod  | [2026-02-27 21:09:31 +0000] [17] [INFO] Control socket listening at /app/gunicorn.ctl
pgsims_backend_prod  | [2026-02-27 21:09:31 +0000] [20] [INFO] Booting worker with pid: 20
pgsims_backend_prod  | [2026-02-27 21:09:31 +0000] [21] [INFO] Booting worker with pid: 21
pgsims_backend_prod  | [2026-02-27 21:09:31 +0000] [22] [INFO] Booting worker with pid: 22
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,398 sims.certificates Certificate periodic tasks setup completed
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,412 sims.logbook Logbook periodic tasks setup completed
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,460 sims.certificates Certificate periodic tasks setup completed
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,473 sims.logbook Logbook periodic tasks setup completed
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,497 sims.wsgi SIMS WSGI application initialized successfully
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,580 sims.wsgi SIMS WSGI application initialized successfully
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,594 sims.certificates Certificate periodic tasks setup completed
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,608 sims.logbook Logbook periodic tasks setup completed
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,696 sims.wsgi SIMS WSGI application initialized successfully
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,720 sims.certificates Certificate periodic tasks setup completed
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,730 sims.logbook Logbook periodic tasks setup completed
pgsims_backend_prod  | [INFO] 2026-02-27 21:09:32,781 sims.wsgi SIMS WSGI application initialized successfully
pgsims_backend_prod  | [WARNING] 2026-02-27 21:09:33,973 sims.performance Slow request: GET /healthz/ took 1473ms
pgsims_backend_prod  | [WARNING] 2026-02-27 21:10:05,425 sims.performance Slow request: GET /healthz/ took 1405ms
pgsims_backend_prod  | [WARNING] 2026-02-27 21:10:36,545 sims.performance Slow request: GET /healthz/ took 1074ms
pgsims_backend_prod  | [WARNING] 2026-02-27 21:11:07,598 sims.performance Slow request: GET /healthz/ took 1007ms
pgsims_backend_prod  | [WARNING] 2026-02-27 21:11:38,655 sims.performance Slow request: GET /healthz/ took 1008ms
